,Município,Estado,Prestadores,Serviços,Natureza Jurídica,QD011 - Quantidades de extravasamentos de esgotos registrados,QD012 - Duração dos extravasamentos registrados,QD021 - Quantidade de interrupções sistemáticas,QD022 - Duração das interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados,QD025 - Tempo total de execução dos serviços,POPULAÇÃO ESTIMADA
1676,Iapu,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31293011] Prefeitura Municipal de Iapu - PMI | [31293040] Prefeitura Municipal de Iapu - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.074,1.848,,11004
1677,Ibertioga,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31294011] Prefeitura Municipal de Ibertioga - PMI | [31294040] Prefeituta Municipal de Ibertioga - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.264,771,,5021
1678,Ibiá,MG,[31295011] Serviço Autônomo de Água e Esgoto - SAAE | [31295040] PREFEITURA MUNICIPAL DE IBIÁ - PMI,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,469.0,"605,00",,,5.605,5.056,"8.509,00",25199
1679,Ibiaí,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água e Esgoto,Sociedade de economia mista com administração pública,48.0,"773,37",,,3.008,2.032,"485.648,00",8395
1680,Ibiracatu,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31296540] Prefeitura Municipal de Ibiracatu - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.090,559,"66.120,95",5400
1681,Ibiraci,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31297040] Prefeitura Municipal de Ibiraci - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,264.0,"1.344,21",,,4.554,3.276,"683.285,43",13828
1682,Ibirité,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31298040] Secretaria de Meio Ambiente e Serviços Urbanos - SEMAS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,2.857,"17.175,56",,,75.830,39.488,"5.954.210,57",180204
1683,Ibitiúra de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,965,707,"151.626,76",3488
1685,Icaraí de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água e Esgoto,Sociedade de economia mista com administração pública,30.0,"288,33",,,2.488,1.796,"259.429,14",11990
1686,Igarapé,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31301040] PREFEITURA MUNICIPAL DE IGARAPÉ - PMMG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,412.0,"6.410,42",,,22.405,13.763,"3.289.357,00",43045
1687,Igaratinga,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,1.938,1.253,"299.467,00",10860
1688,Iguatama,MG,[31303012] Serviço Autônomo de Água e Esgoto de Iguatama - SAAE | [31303040] Prefeitura Municipal de Iguatama - PMI,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,75.0,"20,00",4.0,"32,00",1.489,1.472,"1.600,00",7947
1690,Ilicínea,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31305011] Prefeitura Municipal de Ilicínea - PMI | [31305040] Prefeitura Municipal de Ilicínea - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.635,2.084,"298.680,98",12375
1691,Imbé de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31305540] Prefeitura Municipal de Imbé de Minas - PMIM,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,636,545,"23.065,52",6903
1692,Inconfidentes,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31306011] Prefeitura Municipal de Inconfidentes - PMI | [31306040] Prefeitura Municipal de Inconfidentes - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,8.0,"96,00",,,1.618,1.249,"228.238,87",7328
1693,Indaiabira,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31306540] secretaria de obras - secretaria de obras,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,3.0,"14,12",,,922,632,"98.918,12",7351
1694,Indianópolis,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31307040] PREFEITURA MUNICIPAL DE INDIANÓPOLIS - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.014,1.234,"294.926,00",6891
1695,Ingaí,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,527,324,"46.001,91",2767
1696,Inhapim,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31309040] Prefeitura Municipal de Inhapim - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,92.0,"1.352,48",,,5.662,4.774,"398.714,78",24140
1698,Inimutaba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,3.364,1.639,"241.878,99",7515
1699,Ipaba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31311511] Prefeitura Municipal de Ipaba - PMI | [31311540] PREFEITURA MUNICIPAL DE IPABA - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,5.0,"3,00",107.0,"2.004,00",5.255,3.040,"366.572,17",18607
1700,Ipanema,MG,[31312011] Serviço Autônomo de Água e Esgoto - SAAE | [31312040] Prefeitura Municipal de Ipanema - PMI,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,930.0,"1.203,00",8.0,"54,00",4.508,4.508,"5.184,00",19861
1701,Ipatinga,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31313040] Prefeitura Municipal de Ipatinga - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,7.729,"66.815,58",,,157.467,97.015,"23.186.585,00",263410
1703,Ipuiúna,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água e Esgoto,Sociedade de economia mista com administração pública,159.0,"1.589,49",,,2.605,1.876,"264.724,27",10079
1704,Iraí de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31316011] Prefeitura Municipal de Iraí de Minas - PMIM | [31316040] Prefeitura Municipal de Iraí de Minas - PMIM,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.111,2.070,,6987
1705,Itabira,MG,[31317011] Serviço Autônomo de Água e Esgoto de Itabira - SAAE-Itabira | [31317040] ITAURB - Empresa de Desenvolvimento de Itabira - ITAURB,Água e Esgoto | Res. Sólidos,Autarquia | Empresa pública,2.811,"2.811,00",122.0,"1.001,00",15.940,15.940,"23.910,00",120060
1706,Itabirinha,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31318040] Prefeitura Municipal de Itabirinha - PMI,Água e Esgoto | Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública | Administração pública direta,,,1.0,"14,00",2.562,1.621,,11512
1707,Itabirito,MG,[31319011] SERVIÇO AUTÔNOMO SANEAMENTO BÁSICO - SAAE | [31319040] Prefeitura Municipal de Itabirito - PMI,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,614.0,"921,00",29.0,"262,00",21.431,20.914,"33.462,00",51875
1708,Itacambira,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31320040] Secretaria Municipal De Serviços Urbanos - SMSU,Água | Res. Sólidos,Empresa pública | Administração pública direta,,,1.0,"10,00",84,84,,5385
1709,Itacarambi,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31321040] PREFEITURA MUNICIPAL DE ITACARAMBI - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,39.0,"551,19",,,5.955,3.493,"320.986,08",18153
1710,Itaguara,MG,[31322011] Serviço Autônomo de Água e Esgoto - SAAE | [31322040] SERVIÇO AUTONOMO DE AGUA E ESGOTO - SAAE,Água e Esgoto | Res. Sólidos,Autarquia | Autarquia,421.0,"1.200,00",5.0,"40,00",6.530,6.500,"13.440,00",13358
1711,Itaipé,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31323040] PREFEITURA MUNICIPAL DE ITAIPÉ - PMI,Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,2.0,"28,00",1.021,1.021,,12760
1712,Itajubá,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31324040] Secretaria Municipal de Obras - SEMOB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,4.703,"56.383,61",,,43.802,24.532,"4.066.405,84",96869
1713,Itamarandiba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31325040] Prefeitura Municipal de Itamarandiba - PMI,Água e Esgoto | Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública | Administração pública direta,,,6.0,"63,00",9.708,6.810,,34735
1714,Itamarati de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31326040] Prefeitura Municipal de Itamarati de Minas - PMIM,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.230,1.002,"239.478,00",4355
1717,Itamogi,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31329011] Prefeitura Municipal de Itamogi - PMI | [31329040] Prefeitura Municipal de Itamogi - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.419,2.385,,10192
1718,Itamonte,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31330040] Prefeitura Municipal de Itamonte - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,4.131,2.120,"460.313,66",15579
1719,Itanhandu,MG,[31331011] Prefeitura Municipal de Itanhandu - PMI | [31331040] Prefeitura Municipal de Itanhandu - 18.186.718/0001-80,Água e Esgoto | Res. Sólidos,Administração pública direta | Administração pública direta,7.0,"25,50",2.0,"24,00",18,16,"440,00",15331
1720,Itanhomi,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31332011] Prefeitura Municipal de Itanhomi - PMI | [31332040] Prefeitura Municipal de Itanhomi - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.864,2.236,"164.901,45",12228
1721,Itaobim,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31333040] PREFITURA MUNICÍPAL DE ITATOBIM - pm,Água e Esgoto | Água | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública | Administração pública direta,497.0,"3.538,58",,,9.397,6.241,,21062
1722,Itapagipe,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31334011] Prefeitura Municipal de Itapajipe - PMI | [31334040] Prefeitura Municipal de Itapagipe - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,15.0,"25,00",,,3.624,2.277,"66.788,45",15243
1723,Itapecerica,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31335040] Prefeitura Municipal de Itapecerica - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,280.0,"2.006,88",,,7.920,5.999,"1.015.674,39",21762
1724,Itapeva,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31336040] Prefeitura Municipal de Itapeva - PMI,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,53.0,"430,50",,,3.462,2.691,"353.333,14",9783
1725,Itatiaiuçu,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31337011] Prefeitura Municipal de Itatiaiuçu - PMI | [31337040] Prefeitura Municipal de Itatiaiuçu - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,5.210,3.819,"234.487,61",11146
1726,Itaú de Minas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31337511] Prefeitura Municipal de Itaú de Minas - PMIM | [31337540] PREFEITURA MUNICIPAL DE ITAÚ DE MINAS - PMIM,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,40.0,"40,00",,,6.498,3.902,"710.308,18",16108
1727,Itaúna,MG,[31338011] Serviço Autônomo de Água e Esgoto - SAAE | [31338040] SAAE Gerência Sup. Resíduos Sólidos Urbanos - SAAE/GSRSU,Água e Esgoto | Res. Sólidos,Autarquia | Autarquia,949.0,"838,63",42.0,"317,00",30.901,30.735,"26.781,40",93214
1728,Itaverava,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31339040] Prefeitura Municipal de Itaverava - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública,,,,,891,628,"150.092,00",5419
1729,Itinga,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31340040] PREFEITURA MUNICIPAL DE ITINGA - PMI,Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,198.0,"1.318,00",119,119,,14990
1730,Itueta,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31341011] Prefeitura Municipal de Itueta - PMI | [31341040] Prefeitura Municipal de Itueta - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,12.0,"8,00",,,1.339,524,"121.771,00",6051
1731,Ituiutaba,MG,[31342011] Superintendência de Água e Esgotos de Ituiutaba - SAE | [31342040] SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS - SMOSU,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,327.0,"929,00",,,6.842,6.712,"82.299,00",104671
1732,Itumirim,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,1.360,548,"93.328,68",6023
1733,Iturama,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31344040] PREFEITURA MUNICIPAL - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.351,"6.148,48",,,19.160,12.074,"1.482.013,12",39263
1734,Itutinga,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31345011] Prefeitura Municipal de Itutinga - PMI | [31345040] PREFEITURA MUNICIPAL DE ITUTINGA/MG - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,13.0,"75,00",303.0,"2.325,00",1.591,1.067,"97.058,35",3788
1735,Jaboticatubas,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31346040] PREFEITURA MUNICIPAL DE JABOTICATUBAS - PMJ,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,125.0,"2.002,15",,,5.112,4.019,"465.297,60",20143
1736,Jacinto,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,Água e Esgoto | Água e Esgoto,Sociedade de economia mista com administração pública | Empresa pública,,,29.0,"320,00",3.764,2.034,,12326
1737,Jacuí,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31348011] Prefeitura Municipal de Jacuí - PMJ | [31348040] PREFEITURA MUNICIPAL DE JACUÍ - PMJ,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,8.0,"11,00",,,2.621,2.178,"186.423,70",7686
1740,Jaíba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31350540] SECRETARIA MUNICIPAL DE OBRAS - PMJ,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,113.0,"1.529,86",,,11.663,7.678,"1.373.317,12",38909
1742,Janaúba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31351040] PREFEITURA MUNICIPAL - PMJ,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,255.0,"3.980,75",5.0,"120,00",28.107,19.681,"3.438.042,13",71648
1743,Januária,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31352040] Prefeitura Municipal de Januária MG - PMJ,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,268.0,"1.770,38",,,24.148,15.245,"1.293.769,90",67742
1745,Japonvar,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31353540] Prefeitura Municipal de Japonvar - PMJ,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.566,971,"189.251,13",8134
1747,Jenipapo de Minas,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,Água e Esgoto,Empresa pública,,,2.0,"19,00",402,402,,7692
1748,Jequeri,MG,"[31355011] Departamento Municipal de Água e Esgoto - DEMAE | [31355040] Secretaria Municipal de Cultura, Meio Ambiente e Turismo - SLU",Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,10.0,"1,00",,,3.030,3.030,"8.020,00",12386
1749,Jequitaí,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31356040] Prefeitura Municipal de Jequitaí - PMJ,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,3.265,2.213,"435.781,14",7531
1750,Jequitibá,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31357011] Prefeitura Municipal de Jequitibá - PMJ | [31357040] Prefeitura Municipal de jequitibá - PMJ,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,48.0,"144,00",,,1.218,599,"136.051,00",5211
1751,Jequitinhonha,MG,"[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31358040] SECRETARIA MUNICIPAL DE OBRAS,VIAÇÃO E SERVIÇOS URBANOS - SMOVSU",Água e Esgoto | Água | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública | Administração pública direta,469.0,"12.028,62",55.0,"498,00",9.225,6.345,,25391
1753,Joaíma,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31360040] Prefeitura Municipal de Joaíma - PMJ,Água e Esgoto | Água | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública | Administração pública direta,304.0,"1.326,85",22.0,"259,00",4.482,2.448,,15432
1755,João Monlevade,MG,[31362011] Departamento Municipal de Águas e Esgotos - DAE | [31362040] Prefeitura Municipal de João Monlevade - PMJM,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,1.23,"1.189,00",,,10.248,10.248,"18.891,00",79910
1756,João Pinheiro,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31363040] Secretaria Municipal de Agricultura e Meio Ambiente - SEADMA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,922.0,"4.589,83",,,20.488,14.798,"1.589.708,15",47452
1757,Joaquim Felício,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31364011] Prefeitura Municipal de Joaquim Felício - PMJF,Esgotos | Água,Administração pública direta | Sociedade de economia mista com administração pública,,,,,1.025,526,,4695
1758,Jordânia,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,2.245,1.063,"254.057,00",10812
1759,José Gonçalves de Minas,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31365240] Secretaria Obras e Serviços Públicos - SMOS,Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,2.0,"25,00",182,182,,4501
1760,Josenópolis,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR,Água e Esgoto,Empresa pública,,,1.0,"16,00",250,250,,4867
1761,José Raydan,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31365511] Prefeitura Municipal de José Raydan - PMJR | [31365540] SECRETARIA MUNICIPAL DE OBRAS - SMO,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,763,462,"31.614,80",4995
1762,Juatuba,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31366540] Prefeitura Municipal - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,205.0,"4.036,75",2.0,"26,00",20.956,12.701,"1.798.321,51",26946
1763,Juiz de Fora,MG,[31367011] Companhia de Saneamento Municipal - CESAMA | [31367040] DEPARTAMENTO MUNICIPAL DE LIMPEZA URBANA - DEMLURB,Água e Esgoto | Res. Sólidos,Empresa pública | Autarquia,7.048,,19.0,"255,00",161.358,150.199,,568873
1764,Juramento,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31368040] Prefeitura Municipal de Juramento - PMJ,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,43.0,"204,41",,,1.674,1.038,"248.082,00",4331
1765,Juruaia,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água,Sociedade de economia mista com administração pública,,,,,3.382,2.948,"59.359,32",10563
1766,Juvenília,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA,Água e Esgoto,Sociedade de economia mista com administração pública,22.0,"658,83",,,2.230,1.292,"267.593,03",5724
1767,Ladainha,MG,"[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31370040] SECRETARIA MUNICIPAL DE OBRAS, VIAÇÃO E URBANISMO - SMOVU",Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,3.0,"42,00",1.080,1.033,,18111
1768,Lagamar,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31371011] Prefeitura Municipal de Lagamar - PML | [31371040] Prefeitura Municipal de Lagamar - PML,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,56.0,"160,00",,,2.190,1.383,"240.796,49",7613
1769,Lagoa da Prata,MG,[31372011] Serviço Autônomo de Água e Esgoto - SAAE | [31372040] Prefeitura Municipal - PM,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,,,,,20.177,15.106,,52165
1770,Lagoa dos Patos,MG,"[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31373040] SECRETARIA MUNICIPAL DE TRANSPORTES, OBRAS E SERVIÇOS URBANOS - SMTOSV",Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,62.0,"433,09",,,1.837,1.044,"117.017,61",4102
1771,Lagoa Dourada,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31374011] Prefeitura Municipal de Lagoa Dourada - PMLD | [31374040] Prefeitura Municipal De Lagoa Dourada - PMLD,Esgotos | Água e Esgoto | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,35.0,"787,80",,,4.205,2.792,"565.791,58",13009
1772,Lagoa Formosa,MG,[31375011] Serviço Autônomo de Água e Esgotos - SAAE | [31375040] Secretaria Municipal de Desenvolvimento Econômico e Meio Ambiente - SDEMA,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,303.0,,,,2.729,2.678,,18052
1773,Lagoa Grande,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31375311] Prefeitura Municipal de Lagoa Grande - PMLG | [31375340] Prefeitura Municipal de Lagoa Grande - LG,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,20.0,"30,00",,,4.118,3.207,"208.027,94",9532
1774,Lagoa Santa,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31376040] Prefeitura Municipal de Lagoa Santa - PMLS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,769.0,"6.338,81",,,46.634,24.461,"5.075.630,63",64527
1776,Lambari,MG,[31378011] Serviço Autônomo de Água e Esgoto - SAAE | [31378040] Prefeitura Municipal de lambari - 31378040,Água e Esgoto | Res. Sólidos,Autarquia | Administração pública direta,339.0,"439,00",,,1.892,1.833,"1.664,00",20814
1778,Laranjal,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31380011] Prefeitura Municipal de Laranjal - PML,Esgotos | Água,Administração pública direta | Sociedade de economia mista com administração pública,2.0,"2,00",1.0,"7,00",1.283,629,"71.746,18",6810
1780,Lavras,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31382040] Centro de Tratamento de Resíduos MG S/A - CTR,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública,1.41,"13.701,89",168.0,"2.960,00",56.857,38.297,"3.469.258,06",103773
1781,Leandro Ferreira,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31383040] Prefeitura Municipal de Leandro Ferreira - PMLF,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,24.0,"182,35",,,1.422,1.066,"219.250,71",3229
1782,Leme do Prado,MG,[31686000] Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A - COPANOR | [31383540] SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE - SEMAME,Água e Esgoto | Res. Sólidos,Empresa pública | Administração pública direta,,,6.0,"45,00",105,103,,4918
1783,Leopoldina,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31384011] Prefeitura Municipal de Leopoldina - PML | [31384040] Prefeitura Municipal de Leopoldina - PML,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,62.0,"566,00",19.476,10.908,,52587
1784,Liberdade,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31385040] Município de Liberdade - PML,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.624,853,"203.867,00",5069
1786,Limeira do Oeste,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31386240] PREFEITURA MUNICIPAL DE LIMEIRA DO OESTE - MG,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,223.0,"1.875,30",,,3.368,2.199,"491.622,39",7536
1787,Lontra,MG,[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31386540] PREFEITURA MUNICIPAL - PML,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,33.0,"154,93",,,3.690,2.523,"291.973,31",9496
